Category,Column,Count
religion,category1,1982
business,category1,1153
society,category1,1118
education,category1,977
sports,category1,901
health,category1,779
news,category1,496
comedy,category1,490
arts,category1,411
music,category1,375
tv,category1,364
leisure,category1,338
kids,category1,135
science,category1,131
technology,category1,115
fiction,category1,58
true crime,category1,48
history,category1,42
government,category1,41
games,category1,40
NULL,category1,9
spirituality,category2,1982
NULL,category2,1918
culture,category2,1118
fitness,category2,762
self improvement,category2,536
film,category2,364
entrepreneurship,category2,341
politics,category2,193
marketing,category2,157
investing,category2,151
family,category2,135
interviews,category2,134
society,category2,132
football,category2,130
games,category2,123
baseball,category2,109
management,category2,106
hobbies,category2,103
business,category2,102
food,category2,90
wrestling,category2,86
medicine,category2,65
commentary,category2,63
books,category2,60
sports,category2,57
careers,category2,56
arts,category2,55
how to,category2,50
science,category2,49
news,category2,49
soccer,category2,46
hockey,category2,40
performing,category2,38
entertainment,category2,38
visual,category2,37
improv,category2,37
tv,category2,34
education,category2,34
design,category2,33
government,category2,30
kids,category2,29
automotive,category2,26
wilderness,category2,25
non-profit,category2,22
comedy,category2,20
health,category2,17
rugby,category2,16
earth,category2,16
running,category2,15
music,category2,14
leisure,category2,13
home,category2,11
fantasy,category2,11
fashion,category2,10
courses,category2,10
basketball,category2,10
social,category2,9
tennis,category2,8
language,category2,8
natural,category2,7
history,category2,7
fiction,category2,6
daily,category2,6
aviation,category2,6
sexuality,category2,5
mathematics,category2,5
animation,category2,5
true crime,category2,4
religion,category2,4
life,category2,4
drama,category2,3
technology,category2,2
crafts,category2,2
chemistry,category2,2
stand-up,category2,1
nature,category2,1
NULL,category3,5743
christianity,category3,1196
personal,category3,266
mental,category3,205
news,category3,141
education,category3,139
health,category3,136
culture,category3,132
business,category3,131
medicine,category3,118
society,category3,110
comedy,category3,108
relationships,category3,101
video games,category3,95
reviews,category3,88
places,category3,87
arts,category3,77
management,category3,74
tv,category3,57
marketing,category3,57
philosophy,category3,48
entrepreneurship,category3,48
kids,category3,47
technology,category3,46
nutrition,category3,45
leisure,category3,40
documentary,category3,37
religion,category3,36
parenting,category3,36
investing,category3,35
film,category3,34
family,category3,29
alternative,category3,28
government,category3,27
careers,category3,25
sexuality,category3,23
performing,category3,20
books,category3,20
hobbies,category3,18
science,category3,17
politics,category3,17
fitness,category3,17
music,category3,16
buddhism,category3,14
self improvement,category3,13
how to,category3,13
games,category3,13
non-profit,category3,12
visual,category3,11
history,category3,11
garden,category3,11
pets,category3,10
beauty,category3,10
social,category3,9
soccer,category3,9
stories,category3,8
learning,category3,8
entertainment,category3,8
basketball,category3,8
fashion,category3,7
nature,category3,6
football,category3,6
fiction,category3,6
commentary,category3,6
true crime,category3,5
manga,category3,5
spirituality,category3,4
food,category3,4
natural,category3,3
judaism,category3,3
islam,category3,3
daily,category3,3
interviews,category3,2
home,category3,1
design,category3,1
NULL,category4,7945
journals,category4,266
education,category4,257
society,category4,162
fitness,category4,120
culture,category4,110
travel,category4,87
self improvement,category4,68
business,category4,65
careers,category4,63
health,category4,61
film,category4,57
family,category4,47
entrepreneurship,category4,38
religion,category4,37
mental,category4,37
spirituality,category4,36
science,category4,34
news,category4,31
hobbies,category4,30
tv,category4,29
technology,category4,29
parenting,category4,29
management,category4,24
philosophy,category4,18
history,category4,18
performing,category4,17
marketing,category4,16
arts,category4,15
food,category4,14
fiction,category4,14
commentary,category4,14
true crime,category4,13
design,category4,13
music,category4,12
courses,category4,11
video games,category4,10
politics,category4,10
how to,category4,10
animals,category4,10
personal,category4,9
tennis,category4,8
leisure,category4,8
comedy,category4,8
beauty,category4,7
sports,category4,6
nutrition,category4,6
non-profit,category4,6
interviews,category4,6
government,category4,6
games,category4,6
documentary,category4,6
animation,category4,6
crafts,category4,5
alternative,category4,5
books,category4,4
visual,category4,3
judaism,category4,3
home,category4,3
reviews,category4,2
relationships,category4,2
medicine,category4,2
life,category4,2
kids,category4,2
automotive,category4,2
islam,category4,1
improv,category4,1
garden,category4,1
NULL,category5,8848
culture,category5,162
self improvement,category5,153
mental,category5,69
fitness,category5,61
society,category5,54
business,category5,41
education,category5,40
spirituality,category5,37
how to,category5,36
kids,category5,32
religion,category5,30
film,category5,29
alternative,category5,23
comedy,category5,21
leisure,category5,19
politics,category5,18
entrepreneurship,category5,18
christianity,category5,18
careers,category5,18
philosophy,category5,17
news,category5,17
medicine,category5,17
history,category5,15
relationships,category5,14
nature,category5,14
visual,category5,12
health,category5,11
video games,category5,10
science,category5,9
journals,category5,9
government,category5,9
parenting,category5,8
marketing,category5,8
management,category5,8
interviews,category5,8
games,category5,8
sports,category5,7
arts,category5,7
true crime,category5,6
non-profit,category5,6
manga,category5,6
tv,category5,5
technology,category5,5
improv,category5,5
social,category5,4
personal,category5,4
nutrition,category5,4
investing,category5,4
books,category5,4
garden,category5,3
reviews,category5,2
performing,category5,2
hobbies,category5,2
family,category5,2
design,category5,2
stories,category5,1
places,category5,1
NULL,category6,9435
culture,category6,54
personal,category6,52
society,category6,36
health,category6,36
family,category6,32
spirituality,category6,30
relationships,category6,27
education,category6,26
entrepreneurship,category6,23
self improvement,category6,22
how to,category6,22
mental,category6,20
careers,category6,18
religion,category6,17
kids,category6,15
philosophy,category6,14
technology,category6,12
fitness,category6,11
video games,category6,9
christianity,category6,9
hobbies,category6,8
fantasy,category6,8
social,category6,7
judaism,category6,7
alternative,category6,6
film,category6,5
documentary,category6,5
wrestling,category6,4
journals,category6,4
games,category6,4
comedy,category6,4
tennis,category6,3
science,category6,3
politics,category6,3
music,category6,3
improv,category6,3
nutrition,category6,2
travel,category6,1
places,category6,1
parenting,category6,1
food,category6,1
NULL,category7,9727
journals,category7,52
fitness,category7,36
culture,category7,36
philosophy,category7,19
spirituality,category7,17
education,category7,16
family,category7,15
self improvement,category7,11
relationships,category7,8
leisure,category7,8
careers,category7,8
comedy,category7,7
alternative,category7,7
tv,category7,4
places,category7,4
parenting,category7,4
news,category7,4
social,category7,3
religion,category7,3
interviews,category7,3
arts,category7,3
personal,category7,2
travel,category7,1
health,category7,1
business,category7,1
NULL,category8,9987
games,category8,8
personal,category8,3
relationships,category8,1
film,category8,1
NULL,category9,10000
NULL,category10,10000
